topic,keywords,style_letter,number_of_subtopic,long_letter,long_letter_tittle
"Inteligencia artificial, un futuro sin fraude","fraude, seguridad, desarrollo",normal,5,1500,25
"Prevención de fraude, consejos prácticos","prevención de fraude, seguridad, ciberseguridad",explicativo,7,1000,25
Inteligencia artificial y su papel en la ciberseguridad,"ciberseguridad, inteligencia artificial",normal,8,750,20
Metodos de Fraude,"fraude, seguridad, desarrollo",informativo,6,800,20
Tecnicas de prevención de fraude,"fraude, seguridad, ciberdelincuente",normal,9,950,25
Ataques DOS y DDOS,"ciberseguridad, inteligencia artificial",informativo,5,1200,23
México en materia de prevención de fraude,"corrupción, ciberseguridad, prevención de fraude",normal,10,1350,22
"Inteligencia artificial, un futuro sin fraude","fraude, seguridad, desarrollo",normal,7,1000,25
"Prevención de fraude, consejos prácticos","prevención de fraude, seguridad, ciberseguridad",explicativo,5,1000,25
Inteligencia artificial y su papel en la ciberseguridad,"ciberseguridad, inteligencia artificial",normal,4,750,20
Metodos de Fraude,"fraude, seguridad, desarrollo",informativo,3,800,20
Tecnicas de prevención de fraude,"fraude, seguridad, ciberdelincuente",normal,5,950,25
Ataques DOS y DDOS,"ciberseguridad, inteligencia artificial",informativo,7,800,23
México en materia de prevención de fraude,"corrupción, ciberseguridad, prevención de fraude",normal,6,700,22
Tecnicas de prevención de fraude,"fraude, seguridad, ciberdelincuente",normal,0,950,25
"Inteligencia artificial, un futuro sin fraude","fraude, seguridad, desarrollo",normal,ningun,1500,25
